report,session_id,report_date,specs_driven,cost,overall_success,failure_reason,session_type,duration_minutes,cost_per_minute,files_touched,cost_per_file,notes
2026-06-28T02-00-00Z-fix-commit-ready-order,2026-06-28 fix-commit-ready-order rescue,2026-06-28,1,$22.10,completed,,single-spec,152.9,$0.14,11,$2.01,"rescued stalled WIP branch + merged #734; diagnosed 2 real source bugs masked by 31 red tests (bun execFileSync resolves to self w/o env; dropped verificationRed); 7 docs; hit .active-spec-path marker gap (already seeded), hand-worked-around; duration=operator wall"
2026-06-28T04-26-07Z-operator,2026-06-27/28 v2 Phase 3 daemon,2026-06-28,4,$45.41,completed,,orchestration,455.21,$0.10,26,$1.75,"Phase 3 complete: log-stream,host-ipc,run-control-api,cli-control all merged; 3 harness seeds filed (#728,#742); duration=sum of session-cost plan+run times"
2026-06-28T12-39-28Z-operator,2026-06-28 marker intents,2026-06-28,2,$12.94,completed,,orchestration,102.16,$0.13,13,$1.00,"both marker intents shipped (#739 root fix, #747 fallback); operator hand-finalize on both (scope-creep revert, agentOrder reorder, gates in isolation); +seed #748"
2026-06-28T13-40-00Z-operator,2026-06-28 v2 handler-factory chain,2026-06-28,3,$12.29,completed,,orchestration,88.86,$0.14,15,$0.82,"handler-factory chain #752/#754/#756 merged; 3 harness gaps captured (seed #757 cleanup-no-archive-in-flight + triage-merge-marker + cleanup-abandon-blanket memories); strict dependency chain ran serial, fresh-replan -2 siblings; duration=sum of session-cost plan+run times"
2026-06-28T23-01-08Z-operator,2026-06-28 Tier A v2 test-honesty,2026-06-28,3,$12.30,completed,,orchestration,107.83,$0.11,13,$0.95,"all Tier A shipped (#770,#773,#776); 2 behind-base hand-integrations; +2 operator-gap seeds (#775) +1 triage seed (#768); duration=sum of session-cost plan+run times"
2026-06-29T04-57-44Z-operator,2026-06-29 Tier 1 ready-intents + model-tiering,2026-06-29,5,$14.36,completed,,orchestration,215.39,$0.07,59,$0.24,"all 5 Tier 1 shipped (#784/#790/#795/#801/#803); cursor primary, GLM5.2 escalation, no claude agent; 5 behind-base hand-integrations (concurrent operator session); +3 seeds (#782,#786); config set cursor->GLM5.2; cleanup deferred; files=sum of impl-PR file counts incl spec/verdict md, overlaps not deduped; duration=sum of session-cost plan+run successful times"
2026-06-29T14-20-08Z-operator,2026-06-29 v1 ready-intents tiers 2 and 3,2026-06-29,6,$20.49,completed,,orchestration,233.42,$0.09,92,$0.22,"all tier 2+3 shipped (#804/#812/#815/#817/#819/#821); plan PRs #802/#810/#814/#816/#818/#820; +seed #822 with 3 recovery gaps; cleanup completed and triage showed no worktrees; one abandoned main-checkout false start; files=sum of impl PR file counts plus seed PR files, overlaps not deduped; duration=sum of session-cost plan+run times"
2026-06-29T19-52-38Z-operator,ses_0eb7d64a9ffeCeWOInW3sXOBaQ,2026-06-29T18:08:31Z,$1.78,4,completed,,orchestration,193.33,$0.009,20,$0.089,"specs_driven=4 (glm-5-2, triage-timeout, mark-ready-upstream, deepseek-v4-pro); duration=sum of bound session plan+run times; files_touched=distinct union across 4 impl PRs; 1 behind-base recovery (integration-merge-then-retest on #845)"
2026-06-30T04-05-24Z-operator,ses_0eab7dec1ffeRqy5C37JXWci4p,2026-06-29T21:27:56Z,$6.13,5,completed,,orchestration,398.0,$0.015,30,$0.204,"specs_driven=5 (Tier A complete); duration=wall time 21:27:56Z..04:05:39Z; files_touched=distinct union across 5 impl PRs (12+7+3+5+3=30); 2 auto-integrate behind-base recoveries (#863,#866); 1 manual triage --merge finalize (#859); 1 Integration-merge-then-retest (#860); 2 review-actuator 30-min watchdogs"
2026-06-30T16-18-56Z-operator,019f1423-79ac-7611-9fa3-bd025e8c6b4b,2026-06-29T16:19:25Z,6,$33.38,completed,,orchestration,157.0,$0.213,42,$0.795,"Tier B/C complete plus E1 prerequisite; implementation PRs #828/#839/#862/#857/#867/#871; duration=sum of bound session plan+run times, C2 manual recovery wall time not represented in session telemetry; files_touched=distinct union across 6 impl PRs; no open PRs/issues; cleanup complete"
2026-06-30T22-02-18Z-operator,ses_0e665b9fcfferpQCAmm41YZ5tz,2026-06-30T17:36:08Z,6,$6.35,completed,,orchestration,365.96,$0.017,73,$0.087,"v1 Tier B/C complete (6 specs: #885/#886/#891/#894/#899/#901); +4 doc piggybacks (#876/#900 + missed Tier A recovery); +2 fix PRs (#893 gate blind spot, #895 stale spec AC); duration=sum of bound session plan+run times (intent-override run telemetry lost to computer death); files_touched=distinct union across 6 impl PRs (27+12+2+8+13+11=73); 1st impl batch hit parallel-load gate flake (2 concurrent runs); 1 opencode stall killed manually; computer death mid-session lost #9 run telemetry"
2026-07-01T04-24-23Z-operator,2026-06-30-v2-phase-4-buildout,2026-06-30T18:31:47Z,11,$32.92,completed,,orchestration,666.42,$0.049,109,$0.302,Phase 4 complete: PRs #887/#888/#889/#896/#897/#898/#902/#908/#909/#913/#915; cost combines first opencode handoff plus supplied Codex continuation usage; files_touched=sum of landed PR changedFiles; duration=wall from #887 merge to #915 merge plus 75.42m continuation/report time
2026-07-03T19-51-28Z-operator,2026-07-03-sonnet5-config-and-harness-fixes,2026-07-03T17:24:52Z,3,$33.97,completed,,orchestration,106.25,$0.320,18,$1.887,"Requested: put Claude Sonnet 5 in config for planning/reviewPanel/reviewActuator/prompt/review, haiku for patch, gpt-5.4 for codex, reorder claude->cursor->codex->opencode; the sonnet-5 model was unmapped in the claude agent, so seeded+shipped the model support, then all 3 specs (#944, #952, #955); duration=sum of bound session plan+run times (26.58+40.62+39.00); files_touched=18, distinct-path union across 3 impl PRs #944/#952/#955 (gh pr view --json files); does not include ~/.jarvis/config.json (outside repo) or seed/doc-only PRs #938/#939/#941/#943/#947/#948/#949/#950/#951/#957; 1 plan-PR triage --merge gap hit and worked around by hand twice before its own fix shipped; no open PRs/issues; cleanup left to operator (uncommitted archival diff observed mid-session, not touched)"
2026-07-03T22-27-34Z-operator,019f29af-12dd-7211-b541-332775435ba8,2026-07-03T20:46:58Z,4,$4.79,completed,,orchestration,40.88,$0.117,12,$0.399,session completed four Tier E intents; cost from supplied Codex usage
2026-07-05T03-58-26Z-operator,2026-07-04-phase5-workflow-runner-buildout,2026-07-04T03:05:12Z,12,$166.99,completed,,orchestration,472.73,$0.353,92,$1.815,"impl PRs #978/#980/#979/#987/#988/#989/#998(capstone)/#1003/#1008/#1013/#1027/#1023; duration_minutes=sum of bound session-cost plan+run times (472.73m), not the 23h23m wall-clock (dominated by polling background jarvis runs/CI, not active orchestration); files_touched=92 distinct-path union across the 12 impl PRs; also drove seed/doc/chore PRs #985/#990/#994/#1010/#1011/#1034/#1035/#1036 (no separate jarvis spend); several specs required hand-intervention: 2 merge-conflict resolutions (role-model-two-axis-resolution vs #987, converge-actuator vs concurrently-landed #1021), 1 hand-loosened timeout bound (audit-sandbox, git-subprocess.ts 10s->20s), 2 wrong-target-dir plan re-runs; open harness gap surfaced and seeded (not yet fixed): mock-real-subprocess-tests, for the CI-only git-subprocess hang chased most of the session without a confirmed root cause"
2026-07-05T13-50-52Z-operator,2026-07-05-three-v2-ready-intents,2026-07-05T06:25:45Z,3,$50.26,completed,,orchestration,352.76,$0.142,51,$0.985,"drove all 3 v2/spec/ready-intents (human-loop-behavior, review-debate-behavior, tui-human-loop-controls) through plan->merge->run->merge; duration_minutes=sum of bound session-cost plan+run times (352.76m), not the ~8h14m wall-clock; files_touched=51 is the union of impl PR file counts (23+11+17)"
2026-07-06T02-29-16Z-operator,2026-07-06-v2-phase-7-concurrency-admission,7,$49.71,completed,,orchestration,413.87,$0.120,62,$0.802,"Claude Code /cost; wall duration 9h12m17s vs api_time 49m23s; duration_minutes=sum of bound session-cost plan+run times (413.87m), not the wall-clock (dominated by polling background jarvis1 plan/run invocations and CI); files_touched=62 is the sum of impl PR file counts (11+8+17+8+6+4+8), not a deduped union; specs_driven=7 includes 1 spec picked up mid-run from a prior session (operator-session-bootstrap, PR 1062); root-caused and fixed a recurring CI Test(v2) hang (unbounded connectSocket() connection step, PR https://github.com/cbrenner04/jarvis/pull/1075) that had wedged 3 CI runs across 2 unrelated PRs at the identical spot; hand-fixed one real test-design bug in memory-watermark-admission-and-queued-status after 2 automated retries failed; also drove seed/chore PRs https://github.com/cbrenner04/jarvis/pull/1069, 1070, 1078, 1081, 1082 (no separate jarvis spend)"
2026-07-07T04-14-50Z-operator,2026-07-06-v2-shrink-seeds-01-07,2026-07-06T04:34:00Z,38,$213.66,completed,,orchestration,,,,,"overall completed: seeds 01-07 shipped; hardest spec config-json (gate-blind machineProfile CI failure, lazy-resolution fix manual-finalized). cost=$213.66 is the OPERATOR cost only; jarvis-run cost $194.84 is in session-costs.csv (34 rows). Earlier blank duration/files were due to a mistaken source-gap claim (query error); session-cost rows now exist. Also root-caused+fixed the recurring Test(v2) wedge via per-file named timeouts."
2026-07-09T18-19-29Z-operator,2026-07-08-v2-shrink-seeds-08-13,2026-07-08T15:08:43Z,28,$76.98,completed,,orchestration,412.70,$0.1865,344,$0.2238,"overall completed: all 6 numbered seeds (08-13) + 2 genuine leftovers shipped, 70 PRs, main green. cost=$76.98 is OPERATOR only; jarvis-run cost $158.98 in session-costs.csv (28 rows). duration=jarvis run time sum; files_touched=distinct changed paths whole session. 3 backlog seeds filed (intent-agent-flag, ready-gate-scope, cleanup-archive). Notable: leak fully killed by FsAppendWake deletion; codex gpt-5.5 only (5.3-codex unsupported on ChatGPT acct)."
2026-07-10T03-36-27Z-operator,2026-07-10-three-v2-seeds,2026-07-10T01:02:09Z,3,$108.38,completed,,orchestration,179.73,$0.6030,30,$3.6127,"all 3 v2 seeds shipped (intent-agent-flag #1257, cleanup-archive #1258, ready-gate-scope #1259) + intents #1251-1253, plans #1254-1256, close-out #1260, report #1261. cost=$108.38 OPERATOR only; jarvis-run ~$14.49 captured (session-costs.csv, 3 rows). duration=sum of 3 session durations; files_touched=approx distinct union across session. cleanup archived 3 specs (exercised shipped feature). 1 gap seeded (iteration-timeout checkpoint). triage --merge false-green flagged for investigation, not seeded."
2026-07-11T00-01-14Z-operator,2026-07-11T00-01-14Z-operator,2026-07-10,4,$27.46,completed,,orchestration,221.48,$0.1240,63,$0.4359,Phase 8 (3 behaviors) + F3 telemetry all merged; operator $27.46 + jarvis $29.79 = ~$57.25 session
2026-07-11T00-13-10Z-operator,2026-07-11T00-13-10Z-operator,2026-07-10,3,$5.45,completed,,orchestration,124.87,$0.0436,20,$0.2725,"3 onboarding docs landed end-to-end; all parallel, no conflicts"
2026-07-11T10-30-00Z-operator-v2-seeds-00-04,2026-07-11T10-30-00Z-operator-v2-seeds-00-04,2026-07-11,5,$27.94,completed,,orchestration,432.27,$0.0646,73,$0.3827,5 v2 seeds 00-04 end-to-end; codex capacity-dropped mid-session; 3 subspecs hand-split; wall 10h13m
2026-07-11T23-30-00Z-operator-v1-seed-and-v2-seeds-05-09,2026-07-11T23-30-00Z-operator-v1-seed-and-v2-seeds-05-09,2026-07-11,12,$101.35,completed,,orchestration,603.83,$0.1678,64,$1.5836,12 specs end-to-end; regression I introduced then fixed; owner-directed revert; codex depleted twice; cursor impl actuator; $10.02 wasted on abandoned regression-blocked plans
2026-07-12T22-00-00Z-operator-v2-dogfooding,2026-07-12T22-00-00Z-operator-v2-dogfooding,2026-07-12,14,$120.90,completed,,orchestration,837.8,$0.1443,203,$0.5956,13 of 14 specs landed; ~$8 wasted on the abandoned nonblocking-ready-gate first attempt; slice-boundary roster broke 4 PRs (seeded); local ready gate reported green on trees CI rejected (seeded)
2026-07-13T07-00-00Z-operator-v2-preset-sweep-and-p0-p1,2026-07-13T07-00-00Z-operator-v2-preset-sweep-and-p0-p1,2026-07-13,15,$102.57,completed,,orchestration,975.7,$0.1051,183,$0.5605,46 PRs merged; 13 implementation PRs; 13 seeds (7 fixed). Blocked on operator: autoMode.allow for merges (re-litigated every session); drafted triage comment for intake #1453 unposted.
2026-07-13T20-30-00Z-operator-review-gate-root-cause,2026-07-13T20-30-00Z-operator-review-gate-root-cause,2026-07-13,3,$27.09,partial,1 of 3 specs' implementation dropped silently by the harness (false done),orchestration,262.55,$0.1032,31,$0.8739,"12 PRs merged; 2 implementation PRs (#1484, #1485); 6 seeds. Review gate root-caused and fixed; debate verified working for the first time. Retired 8 stale seeds + 1 ready-intent for already-shipped work, and retracted the claude pool-contention folklore from both runbooks. Jarvis cost unattributable for all v2 runs (#1492)."
2026-07-14T00-30-00Z-operator-p0-complete,2026-07-14T00-30-00Z-operator-p0-complete,2026-07-13,5,$22.67,completed,,orchestration,233.37,$0.0971,46,$0.4928,"All four P0 items shipped and on main; main verified green on full CI. 6 implementation PRs, 6 seeds, 4 plans, 3 intents."
2026-07-14T05-30-00Z-operator-p1,2026-07-14T05-30-00Z-operator-p1,2026-07-14,7,$53.42,partial,3 of 7 implement runs produced commits that do not compile; 2 parked as red drafts,orchestration,84.93,$0.6290,39,$1.3697,"22 PRs merged: 4 implementation (#1539 #1540 #1541 #1546), 11 intent/plan, 3 seed. 6 seeds authored, 1 P1 seed refuted and retired. v2 drove every run; jarvis1 used only for cleanup."
2026-07-14T05-00-00Z-operator,2026-07-14T05-00-00Z-operator,2026-07-14,11,$69.69,completed,,orchestration,74.68,$0.9332,62,$1.1240,"20 PRs merged: 7 implementation (#1544 #1555 #1556 #1558 #1560 #1562 #1563), 5 intent/plan (#1549 #1550 #1551 #1552 #1554), 4 seed (#1553 #1557 #1561 + this report), 1 runbook (#1559). P1 is DONE. 7 seeds authored; 1 prior seed corrected (it claimed v2 has no --target-dir; it does). v2 drove every run; jarvis1 was not needed once."
2026-07-16T00-38-20Z-operator,2026-07-16T00-38-20Z-operator,2026-07-15,10,$117.60,completed,,orchestration,163.7,$0.7184,155,$0.7587,Jarvis exec 163.7min across 57 codex invocations; 155 changed paths (52 src/shared). All 10 impl specs completed.
2026-07-16T06-45-00Z-operator,2026-07-16T06-45-00Z-operator,2026-07-16,8,$83.33,completed,,orchestration,157.1,$0.5304,96,$0.868,"8 impl specs completed + 4 deferred/closed for re-run (wedged, daemon-restart, publication-cause, daemon-status). 96 changed paths (38 code) in the session window, incl. concurrent owner PRs. Jarvis exec 157.1min (mine) of 161.4min total."
2026-07-16T21-09-36Z-operator,2026-07-16T21-09-36Z-operator,2026-07-16,6,$55.29,completed,,orchestration,99.71,$0.55,52,$1.06,"Wave 1 complete: 4/4 behaviors + the gate blocker. 1 of 6 driven items blocked, correctly (already-shipped behavior caught by the plan prerequisite gate). duration_minutes = sum of the 6 uniquely matched session-cost rows (plan+run exec), not operator api_time. files_touched = distinct paths across the 5 implementation PRs (#1644 #1648 #1650 #1654 #1658). Operator errors this session: misread not-live as a strand twice (phantom seed + one pkilled healthy run), admin-merged #1654 before CI reported, and moved an operator's uncommitted note out of the working tree via a repo-global git stash across worktrees."
2026-07-16T22-30-00Z-operator,2026-07-16T22-30-00Z-operator,2026-07-16,6,$25.30,partial,"Wave 2 implementation 0/3; cleanup anchor rejected twice on a structural spec defect",orchestration,46.55,$0.54,31,$0.82,"Wave 2 authoring+planning 3/3 complete and merged (#1669 #1671 #1674); implementation 0/3. 11 PRs merged (all markdown: seeds, ready-intents, plan specs), 5 closed unmerged. duration_minutes = sum of the 6 uniquely matched session-cost rows (plan+run exec), not operator api_time. files_touched = distinct paths across the 11 merged PRs. Headline finding: a green gate + 7/7 ticked AC certified a jarvis cleanup that could never run, twice, from two different models -- root cause is the code shape (no injectable root => no honest test), not agent quality, so a third run repeats it. 5 new seeds filed (#1665 #1670 x3 #1673, amended #1676). Reviewed plan path unusable 3/3 -- plain plan is the workaround. Confirmed working: Wave 1 ready_gate_repair fired for real; #1658 publication guard correctly refused to claim success without PR evidence. Operator errors: routed the triage seed to v1/spec before correction; initially misread staged-spec PRs mid-tail before confirming 25 min post-exit."
2026-07-17T19-45-00Z-operator,2026-07-17T19-45-00Z-operator,2026-07-17,7,$141.79,completed,"cleanup anchor took 6 attempts but shipped; Wave 2 remainder (fuller cleanup, triage cluster, quick-wins) open",orchestration,265.13,$0.53,42,$3.38,"Wave 2 core 3/3 (cleanup #1701 dogfooded, promotion #1681, triage-resolution #1684) + git/PR history end-to-end (#1695 #1702) + triage-spec-less-merge (#1707) + tmp-infra unblock (#1699). 7 implementation PRs, all mutation-verified; cleanup+pr-body needed operator hand-finalize of review-flagged test gaps. 26 PRs merged total. Key finding: a green gate certified 6 cleanup no-ops; mutation review (break the code, confirm a test goes red) is the only thing that caught them -> seed #1706 to make the harness do it. Publication intermittently flaky (#1683), hand-published 2 codex intents. Operator errors: misdiagnosed publication flakiness as daemon-auth (disproved by a clean publish); redundant poll loops; over-claimed status early. duration_minutes = sum of 7 session run rows."
2026-07-17T23-15-00Z-operator,2026-07-17T23-15-00Z-operator,2026-07-17,14,$124.36,completed,"agent-spawn #1730 the sole Wave 2 deferral (unwired guard no-op, seeded)",orchestration,142.15,0.87,60,2.07,"Wave 2 done: 13/14 implementations landed, agent-spawn deferred. Key: mutation-review caught 3 mock-hidden no-ops a green gate certified (#1719/#1726/#1730); reinforces seed #1706. Operator errors: over-diagnosed ready-gate as a 4th no-op (fix had already landed #1734); heavy background-poll churn. duration=API time."
2026-07-18T06-42-14Z-operator,2026-07-18T06-42-14Z-operator,2026-07-18,5,$54.25,partial,"3.4 workflow-wedged-run deferred (runtime no-op, blocked on Wave 4); 4/5 driven specs landed + support PRs",orchestration,101.05,0.537,41,1.32,Wave 3 daemon trust: 3/4 + auto-bounce bonus landed. Mutation-review every implement PR — caught 3.1 red-integration and 3.4 runtime no-op (both green-gate+AC-ticked). 7 seeds. Operator spec-sharpening contributed to the 3.4 miss (owned). duration=API time; files_touched=union across 11 landed PRs.
2026-07-19T19-13-11Z-operator,2026-07-19T19-13-11Z-operator,2026-07-19,11,$155.93,completed,"1 of 11 driven specs (partition-v1-run-command-tests-remaining) intentionally deferred to a follow-up P1 session, not a failure",orchestration,411.42,$0.379,74,$2.11,"P0 (5 items, all outcome-integrity fixes) fully landed via 10 implementation PRs. 6 harness bugs found and seeded live (mutation-verifier scoped-test bug fixed pre-merge; test-exclusion-guard regression fixed pre-merge; cleanup --abandon dry-run parser bug; cleanup stdin hang (19h runaway); ready-gate autocommit can commit regressed code; daemon-start-list.test.ts closed-DB race). Duration/cost reflect agent execution time only, not the ~37h real-time span."
2026-07-20T04-16-04Z-operator,2026-07-20T04-16-04Z-operator,2026-07-20,8,$94.42,completed,,orchestration,126.72,$0.75,65,$1.45,"P0+P1 fully landed (8 impl specs, ~25 PRs, main green). v2-unknown re-scoped to buildable core; registry/help deferred to a new seed. Duration/cost = operator API time; agent run costs on subscription, not metered per-spec."
2026-07-21T22-33-26Z-operator,2026-07-21T02-41-28Z-operator,2026-07-21,8,$144.30,completed,,orchestration,102.73,$1.40,118,$1.22,"41 PRs merged; 8 implementation specs landed. Central finding: v2 primary presets defaulted to zero review passes while the intended defaults (1 pass; debate, light for intent) sat on the deprecated *-reviewed alias builders — so every documented v2 implement ran unreviewed. implement and intent defaults fixed; plan queued. Reviewers now get a unified diff instead of a --stat summary. Defect rate reviewed vs unreviewed: 4/5 and 4/5 — flat; gains came from the mutation gate naming failures (file+line) and from execution, not from reading. 5 defects caught pre-merge, all with green CI and ticked criteria, two of them past the mutation gate (fatal sha256('') daemon digest; in-progress row strand). 3 verification blind spots seeded incl. a test double computing its reply with the production function under test (reverting the guard failed 0/144 tests). 1 implementation closed and re-run after spec tightening. Duration = API time; wall 20h33m."
